ticker,name,source,price,price_value,volume,market_cap,market_cap_value,pe,pe_value,financials,net_income,net_income_value,growth,growth_value,confidence
AAPL,苹果,yfinance,✅,272.41,✅,✅,4033.2B,✅,36.52,✅,✅,112.0B,✅,19.5%,HIGH
AAPL,苹果,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
AAPL,苹果,twelvedata,✅,272.41,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
MSFT,微软,yfinance,✅,510.18,✅,✅,3791.9B,✅,36.23,✅,✅,101.8B,✅,15.5%,HIGH
MSFT,微软,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
MSFT,微软,twelvedata,✅,510.18,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
GOOGL,谷歌,yfinance,✅,276.41,✅,✅,3364.5B,✅,27.31,✅,✅,100.1B,✅,35.7%,HIGH
GOOGL,谷歌,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
GOOGL,谷歌,twelvedata,✅,276.41,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
AMZN,亚马逊,yfinance,✅,234.69,✅,✅,2539.8B,✅,33.10,✅,✅,59.2B,✅,94.7%,HIGH
AMZN,亚马逊,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
AMZN,亚马逊,twelvedata,✅,234.69,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
NVDA,英伟达,yfinance,✅,190.17,✅,✅,4630.1B,✅,54.03,✅,✅,72.9B,✅,144.9%,HIGH
NVDA,英伟达,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
NVDA,英伟达,twelvedata,✅,190.17,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
META,Meta,yfinance,✅,609.46,✅,✅,1537.2B,✅,26.96,✅,✅,62.4B,✅,59.5%,HIGH
META,Meta,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
META,Meta,twelvedata,✅,609.46,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
TSLA,特斯拉,yfinance,✅,404.35,✅,✅,1344.8B,✅,276.95,✅,✅,7.1B,✅,-52.5%,HIGH
TSLA,特斯拉,finnhub,❌,,⚠️,❌,,❌,,🔒,🔒,,🔒,,LOW
TSLA,特斯拉,twelvedata,✅,404.35,⚠️,🔒,,🔒,,🔒,🔒,,🔒,,LOW
00700.HK,腾讯,yfinance,✅,641.00,✅,✅,5942.9B,✅,26.39,✅,✅,194.1B,✅,68.4%,HIGH
09988.HK,阿里巴巴,yfinance,✅,154.90,✅,✅,3092.3B,✅,18.37,✅,✅,130.1B,✅,62.6%,HIGH
03690.HK,美团,yfinance,✅,100.00,✅,✅,623.5B,✅,19.53,✅,✅,35.8B,✅,158.4%,HIGH
01810.HK,小米,yfinance,✅,42.36,✅,✅,1132.8B,✅,26.98,✅,✅,23.7B,✅,35.4%,HIGH
09618.HK,京东,yfinance,✅,116.90,✅,✅,360.8B,✅,10.07,✅,✅,41.4B,✅,71.1%,HIGH
01211.HK,比亚迪,yfinance,✅,100.60,✅,✅,971.3B,✅,66.18,✅,✅,40.3B,✅,34.0%,HIGH
09999.HK,网易,yfinance,✅,219.40,✅,✅,694.6B,✅,18.91,✅,✅,29.7B,✅,1.0%,HIGH
